desempleado,edad,sexo,educacion,area,fexp
0,49,1,13,0,375.0617832957809
0,29,1,9,0,74.66023344530214
0,35,1,7,1,368.1995484911106
0,24,1,19,0,183.28009030847633
1,41,0,5,1,216.72808434552954
1,29,1,7,1,55.98491222572877
1,27,0,11,1,130.96018467401012
0,31,1,5,1,268.9440494117208
0,58,0,14,1,73.97914476066731
1,22,0,17,0,292.060736298141
0,58,0,11,1,315.31658403763583
1,46,0,1,1,238.3621187026534
1,18,1,2,1,121.20897446937067
0,64,1,5,0,105.81126620374465
1,23,1,2,1,76.22787720752086
0,30,1,16,0,140.58181635601125
0,47,0,7,1,333.96802694676796
1,58,0,16,0,214.76568194593514
1,37,0,2,0,157.18958047489784
1,26,0,2,1,315.77128099287773
0,47,1,10,1,326.84787753233786
1,52,0,14,1,305.79132677604605
0,62,1,16,0,153.90168677531184
1,26,1,12,1,395.04468584374405
0,37,1,3,0,171.21339667831072
1,28,0,1,1,167.75458350754525
0,30,1,0,1,354.94374837762854
1,49,0,2,0,200.32823317743535
0,61,0,16,1,302.35414107437816
0,41,0,9,1,227.81717364858915
1,18,1,12,1,223.4125952862603
1,59,0,8,1,282.4921246610944
0,27,1,19,1,297.0061476636385
1,26,0,17,1,265.84402132537264
0,54,0,8,0,233.25976638357744
0,37,0,8,0,128.66333041330444
0,53,1,16,1,140.59233383448378
0,46,0,6,1,374.5476463306002
1,25,1,15,1,102.80146142790875
1,28,1,1,1,314.7169064296606
0,57,0,5,0,331.22545963830225
0,56,0,0,1,380.9836473461967
1,64,0,6,1,112.9088064142957
0,27,1,2,1,332.0201167385828
1,36,1,10,1,168.6350837711662
1,25,0,1,1,124.32118677533964
0,57,1,11,1,177.68361652209967
1,33,0,1,1,352.01640799559055
0,62,0,2,1,280.89125020849684
1,18,0,6,1,362.73870409582923
0,60,0,1,0,88.86009514934389
0,30,0,12,1,228.39623798788708
0,35,0,15,1,231.13346414369437
0,29,1,5,1,51.092771334198375
0,33,1,4,0,96.38047724726141
0,51,0,14,1,191.91826411670954
0,47,1,0,1,375.3480649964512
0,42,0,3,1,231.11603453449564
1,54,1,5,1,378.9081204291343
0,37,0,8,1,72.08615052629291
0,53,0,10,1,267.1808596698945
1,48,0,11,1,352.1337490474579
0,28,1,16,1,326.8206868898562
0,57,0,7,1,153.5328827056284
1,38,1,18,1,99.56180562123137
0,45,1,14,0,251.29615678031357
0,26,0,18,1,356.7965116098233
1,40,1,17,1,78.90603805862857
0,44,0,10,0,102.88826845782185
0,41,0,7,1,375.9646058217622
1,64,1,0,1,221.55130834171104
1,55,0,0,0,240.6738430485674
0,40,0,16,1,381.7288452407063
0,27,0,19,0,156.92982286715227
0,63,0,4,0,197.66405301587525
1,20,0,14,1,60.63201541249683
0,36,1,17,1,142.67084457826837
0,46,1,2,1,292.44930086822274
0,29,1,15,1,298.2998484202642
1,28,1,4,0,188.93248754316468
0,48,1,14,1,193.1380051988943
